Role,Cluster,Type,Skills
assistant controller,assistant controller_-1,role,"'timberline software', 'data migration', 'reconciliation', 'team building', 'bookkeeping', 'pclaw', 'certified public accountant (cpa)', 'sage peachtree', 'as/400', 'quickbooks', 'biotechnology', 'general ledger', 'sensor technology', 'cash handling', 'cdi', 'invoicing', 'secretarial support', 'pico framework', 'tax preparation', 'full accounting cycle', 'software as a service (saas)', 'journal entries'"
assistant controller,assistant controller_4,role,"'general ledger accounting', 'balance sheets'"
assistant controller,assistant controller_5,role,"'balance sheet preparation', 'financial statement preparation'"
assistant lecturer in natural resource management,assistant lecturer in natural resource management_-1,role,"'.net', 'environmental protection', 'environmental science', 'meeting management', 'natural language processing', 'business process improvement', 'shipping and receiving', 'tableau', 'technical support'"
assistant lecturer in natural resource management,assistant lecturer in natural resource management_1,role,"'c# programming', 'progress software'"
assistant lecturer in natural resource management,assistant lecturer in natural resource management_0,role,"'curriculum development', 'instructor', 'lecturing'"
assistant lecturer in natural resource management,assistant lecturer in natural resource management_2,role,"'data warehousing', 'database design', 'geographic information systems (gis)', 'oracle database', 'statistical package for the social sciences (spss)', 'sql', 'statistics'"
assistant manager,assistant manager_0,role,"'team building', 'business development', 'account management', 'change management', 'client development', 'conflict management', 'sales forecasting', 'vendor management', 'market expansion', 'profit improvement', 'business processes'"
assistant manager,assistant manager_-1,role,"'sales presentations', 'client engagement', 'algebra', 'ibm db2', 'cold calling', 'direct mail marketing', 'voice over ip (voip)', 'sensor technology', 'microsoft access'"
assistant manager,assistant manager_1,role,"'computer programming', 'mathematics'"
assistant of economic department,assistant of economic department_-1,role,"'chase paymentech', 'complex problem solving', 'epicor erp', 'general ledger accounting', 'glacier tax prep software', 'intuit payroll', 'netsuite', 'office master system', 'sage peachtree', 'quickbooks', 'sage accounting software'"
assistant office manager,assistant office manager_-1,role,"'focus erp', 'supervision', 'telephone skills', 'transportation logistics', 'microsoft word', 'scheduling', 'form design', 'data entry', 'microsoft publisher', 'time management', 'dispatching', 'credit analysis', 'device drivers', 'computer programming', 'quick learner'"
assistant professor,assistant professor_0,role,"'basic computer skills', 'graphical user interface (gui) design', 'matlab', 'law enforcement', 'progress software', 'retail operations', 'scheduling', 'visual basic for applications (vba)'"
assistant professor,assistant professor_-1,role,"'calculus', 'credit analysis', 'laser technology', 'layout design', 'microsoft powerpoint'"
assistant professor,assistant professor_1,role,"'physics', 'statistics'"
assistant program manager,assistant program manager_-1,role,"'billing', 'cash flow projections', 'government contracting', 'jd edwards enterpriseone', 'labview', 'matlab', 'sage peachtree', 'quickbooks', 'self-motivation'"
assistant project coordinator,assistant project coordinator_-1,role,"'civil engineering', 'multi-line phone systems', 'pick programming language', 'microsoft powerpoint', 'proofreading', 'shipping and receiving'"
assistant project coordinator,assistant project coordinator_0,role,"'front office management', 'meeting facilitation', 'meeting management', 'supervision', 'microsoft word'"
assistant project coordinator,assistant project coordinator_1,role,"'email communication', 'telephone skills'"
assistant project manager,assistant project manager_-1,role,"'proposal writing', 'american institute of architects (aia)', 'as/400', 'business writing', 'bond trading', 'billing', 'tax law', 'medical imaging', 'request for information (rfi)', 'bluebeam revu', 'clerical skills', 'insurance', 'results-oriented', 'jd edwards enterpriseone'"
assistant project manager,assistant project manager_0,role,"'scheduling', 'project coordination', 'event planning'"
