Role,Cluster,Type,Skills
dispatch assistant,dispatch assistant_-1,role,"'data entry', 'device drivers', 'focus erp', 'form design', 'microsoft publisher'"
dispatch assistant,dispatch assistant_1,role,"'dispatching', 'scheduling', 'supervision', 'time management', 'transportation logistics'"
dispatch assistant,dispatch assistant_0,role,"'telephone skills', 'quick learner'"
distributed computer systems analyst / network administrator,distributed computer systems analyst / network administrator_0,role,"'business development', 'configuration management', 'contract management', 'delivery management', 'direct sales', 'marketing materials', 'business process improvement'"
distributed computer systems analyst / network administrator,distributed computer systems analyst / network administrator_-1,role,"'environmental health and safety (ehs)', 'instructor', 'network installation', 'radar systems'"
distributed computer systems analyst / network administrator,distributed computer systems analyst / network administrator_1,role,"'information security', 'insurance', 'computer networking'"
district administrative manager,district administrative manager_0,role,"'accounts payable', 'billing'"
district administrative manager,district administrative manager_-1,role,"'accounts receivable', 'adjustments', 'administrative management', 'annuities', 'balance sheet preparation', 'cash handling', 'clerical skills', 'closing procedures', 'certified public accountant (cpa)', 'credit analysis', 'crime scene investigation (csi)', 'direct sales', 'food safety', 'government contracts', 'life insurance', 'merchandising', 'sales reporting', 'computer networking', 'procedure writing', 'public relations (pr)', 'receptionist duties', 'reconciliation', 'shipping and receiving', 'software training', 'team building', 'telephone skills'"
district administrative manager,district administrative manager_3,role,"'automated payroll processing', 'order processing', 'payroll processing'"
district administrative manager,district administrative manager_1,role,"'bookkeeping', 'general ledger accounting'"
district administrative manager,district administrative manager_2,role,"'contract management', 'staffing'"
documentation analyst,documentation analyst_-1,role,"'presentation skills', 'financial reporting', 'cross-functional team leadership', 'business analysis mentoring', 'document reporting', 'fast learner', 'microsoft project', 'negotiation', 'oracle database', 'organization skills', 'project coordination', 'public speaking', 'statistical package for the social sciences (spss)'"
electrical apprentice,electrical apprentice_-1,role,"'basic computer skills', 'california regulations', 'carpentry', 'conversion rate optimization (cro)', 'direction', 'equipment installation', 'fax machine operation', 'form design', 'global positioning system (gps)', 'quality inspection', 'laboratory testing', 'maple software', 'naval operations', 'novell directory services (nds)', 'open source software (oss)', 'market positioning', 'record keeping', 'storage area network (san)', 'security clearance', 'scheduling', 'data sorting', 'technical support'"
electrical apprentice,electrical apprentice_2,role,"'broadcast engineering', 'cabling systems', 'chiller systems', 'electrical systems', 'hvac systems', 'computer networking', 'radio communications', 'transmission systems', 'ultra high frequency (uhf)', 'very high frequency (vhf)'"
electrical apprentice,electrical apprentice_0,role,"'council management', 'government regulations'"
electrical apprentice,electrical apprentice_3,role,"'lighting design', 'power supply design'"
electrical apprentice,electrical apprentice_1,role,"'plumbing', 'welding'"
electrical design engineer,electrical design engineer_-1,role,"'scheduling', 'visual basic', 'xilinx ise', 'motorola systems', 'renovation', 'direct current (dc)', 'autodesk inventor', 'instructional design', 'allen bradley rslogix', 'wago codesys', 'pspice', 'vhdl', 'adobe flash', 'simulation', 'siemens step 7', 'sensor technology', 'proposal writing', 'switchgear', 'cabling systems', 'data validation', 'tendering', 'functional testing', 'business process improvement'"
electrical design engineer,electrical design engineer_1,role,"'power distribution systems', 'psim software', 'power generation', 'easypower software', 'hvac systems'"
electrical design engineer,electrical design engineer_0,role,"'hp hardware', 'computer programming', 'labview', 'intel processors', 'java programming', 'structured programming', 'matlab', 'iec 61131 programming'"
electrical engineer,electrical engineer_0,role,"'electrical systems', 'power distribution systems', 'systems engineering', 'computer programming'"
electrical engineer,electrical engineer_-1,role,"'conflict management', 'peer review', 'direct current (dc)', 'team building', 'microsoft visio', 'access control', 'military experience', 'procurement', 'control systems', 'cmpro software', 'project planning', 'ibm rational doors', 'sensor technology', 'power supply design', 'pneumatics', 'delivery management', 'proposal writing', 'naval operations', 'statistics', 'continuous improvement', 'presentation skills', 'functional testing', 'leadership development'"
electrical engineer,electrical engineer_1,role,"'c# programming', 'microsoft project'"
electrical engineering lab technician,electrical engineering lab technician_-1,role,"'atm operation', 'california regulations', 'direct current (dc)', 'linux administration', 'mentoring', 'power supply design', 'purchasing', 'signal generators', 'sonet', 't1 lines', 'data validation'"
electrical engineering lab technician,electrical engineering lab technician_1,role,"'cadence design systems', 'layout design'"
electrical engineering lab technician,electrical engineering lab technician_0,role,"'calibration', 'labview', 'orcad', 'oscilloscope operation', 'procurement', 'test equipment', 'data visualization'"
electrical engineering lab technician,electrical engineering lab technician_2,role,"'ethernet networking', 'computer networking', 'router configuration', 'network switching'"
electrical engineering technician and pcb layout designer,electrical engineering technician and pcb layout designer_-1,role,"'atm operation', 'california regulations', 'direct current (dc)', 'linux administration', 'mentoring', 'power supply design', 'purchasing', 'signal generators', 'sonet', 't1 lines', 'data validation'"
electrical engineering technician and pcb layout designer,electrical engineering technician and pcb layout designer_1,role,"'cadence design systems', 'layout design'"
electrical engineering technician and pcb layout designer,electrical engineering technician and pcb layout designer_0,role,"'calibration', 'labview', 'orcad', 'oscilloscope operation', 'procurement', 'test equipment', 'data visualization'"
electrical engineering technician and pcb layout designer,electrical engineering technician and pcb layout designer_2,role,"'ethernet networking', 'computer networking', 'router configuration', 'network switching'"
